kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.002002842,0.002691955,0.003762556,0.002536769,0.000261448,3.13E-05,0.003162,0.8651,8.77E-05,0.03288,0.9339
0.001806837,0.003236384,0.004617807,0.002129476,0.000232932,3.78E-05,0.003394,0.8377,6.84E-05,0.03483,0.9841
0.001964051,0.002797308,0.003454197,0.001997376,0.000201833,3.70E-05,0.003506,0.8462,0.0002808,0.05026,0.8058
0.001784484,0.004140942,0.003724834,0.001804085,0.00024074,3.21E-05,0.003192,0.8636,0.0002099,0.03688,0.8292
0.003167763,0.003025237,0.004562221,0.001949253,0.000211999,3.22E-05,0.003486,0.871,0.0001878,0.0398,0.835
0.001970585,0.004278744,0.005023528,0.002943944,0.000214489,3.29E-05,0.003436,0.8662,0.0001814,0.04714,0.8675
0.001900351,0.00355804,0.002704035,0.002604286,0.000224129,3.41E-05,0.003418,0.8561,0.0001132,0.03141,0.8907
0.002671078,0.004224296,0.002478163,0.001346552,0.000222373,3.54E-05,0.003532,0.8545,0.0001788,0.04354,0.8641
0.001737538,0.003852908,0.004369307,0.002485413,0.000232337,3.47E-05,0.003496,0.8585,0.0001597,0.04136,0.877
0.001925604,0.003505105,0.00286912,0.003045362,0.00025611,3.58E-05,0.003448,0.8517,0.000206,0.06346,0.872
0.001397745,0.002293898,0.00417032,0.002550381,0.000186123,3.58E-05,0.003603,0.8556,0.0001136,0.04421,0.9258
0.00228453,0.004796631,0.003390624,0.002115458,0.000271759,3.63E-05,0.003449,0.848,0.00016,0.04004,0.8474
0.002310832,0.002292876,0.003131442,0.002866342,0.000221989,3.34E-05,0.003249,0.8556,7.30E-05,0.02312,0.9282
0.002269782,0.002665131,0.005535251,0.002682505,0.000220678,4.05E-05,0.003761,0.8381,0.0004349,0.05847,0.7605
0.002089989,0.002864712,0.00307908,0.001875524,0.000255902,3.85E-05,0.003658,0.8471,0.0001036,0.02336,0.8849
0.002003145,0.002563304,0.003563593,0.002484272,0.000236728,3.49E-05,0.003412,0.8524,0.0001459,0.0407,0.8786
0.001911145,0.003694122,0.004014988,0.002293502,0.000256257,3.76E-05,0.003596,0.846,0.0001368,0.03267,0.8631
0.002480013,0.002401131,0.004571081,0.002945489,0.000209679,3.79E-05,0.003477,0.8444,0.0001901,0.0415,0.8499
0.001983531,0.004318131,0.004383643,0.002322337,0.000224231,4.26E-05,0.003552,0.8235,0.000318,0.04694,0.7821
0.00176978,0.00275058,0.003239061,0.002933794,0.000222416,4.43E-05,0.003774,0.8216,0.0001976,0.05872,0.8718
0.001806157,0.00302491,0.003320646,0.002836208,0.000233137,3.48E-05,0.003646,0.8647,7.56E-05,0.02724,0.9367
